,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
346,10.0,0.939,0.753,0.967,0.523,0.537,0.859,0,0,0,0,0,0,0,0,0,1,2,0,9,0,4,16,2,14,51.0,0.0,180.467691,0.8580618385557169
347,10.0,0.405,0.503,0.277,0.441,0.307,0.991,0,0,0,0,0,0,0,0,6,0,1,0,9,13,7,36,5,15,61.0,0.0,187.415628,0.9003682272488164
348,10.0,0.249,0.271,0.197,0.149,0.853,0.881,0,0,0,0,0,0,0,0,0,0,0,0,11,1,5,17,3,11,14.0,0.0,177.73983199999998,0.8848193735614931
349,10.0,0.495,0.161,0.851,0.433,0.247,0.767,0,0,0,0,0,0,0,0,11,0,0,0,11,0,10,32,3,11,0.0,0.0,187.35987399999996,0.8936755270394133
350,10.0,0.589,0.967,0.165,0.767,0.847,0.751,0,0,0,0,0,0,0,0,13,0,1,0,16,6,9,45,4,16,4.0,0.0,193.52992400000002,0.907088122605364
351,10.0,0.353,0.129,0.549,0.123,0.605,0.795,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,9,3,7,3.0,0.0,163.374446,0.8570701932858596
352,10.0,0.607,0.701,0.607,0.553,0.791,0.431,0,0,0,0,0,0,0,0,1,0,1,0,7,2,4,15,2,14,118.0,0.0,180.326323,0.8787909731440825
353,10.0,0.883,0.881,0.723,0.745,0.611,0.393,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,14,1,14,80.0,0.0,176.42502899999997,0.8982997809533744
354,10.0,0.869,0.661,0.399,0.065,0.675,0.775,0,0,0,0,0,0,0,0,1,0,0,0,7,3,1,12,1,12,40.0,0.0,118.96979899999998,0.8744311129499379
355,10.0,0.541,0.217,0.469,0.811,0.643,0.543,0,0,0,0,0,0,0,0,2,1,2,1,5,1,1,13,2,11,50.0,0.0,190.843878,0.9117617159703162
356,10.0,0.057,0.317,0.581,0.657,0.801,0.205,0,0,0,0,0,0,0,0,3,2,1,1,15,0,5,27,3,20,14.0,0.0,202.45394900000002,0.913130673421997
357,10.0,0.029,0.759,0.679,0.077,0.329,0.693,0,0,0,0,0,0,0,0,1,0,1,0,11,1,3,17,2,16,77.0,0.0,193.40146699999997,0.8639555295494441
358,10.0,0.857,0.617,0.553,0.377,0.797,0.309,0,0,0,0,0,0,0,0,1,0,1,4,10,1,14,31,6,15,16.0,0.0,165.85515399999997,0.8667676767676767
359,10.0,0.727,0.737,0.839,0.421,0.883,0.183,0,0,0,0,0,0,0,0,0,1,0,0,5,0,7,13,3,8,67.0,0.0,165.392804,0.8913331296466035
360,10.0,0.867,0.069,0.861,0.845,0.613,0.925,0,0,0,0,0,0,0,0,8,1,1,1,1,4,7,23,7,9,7.0,0.0,186.62157000000002,0.9072017928083936
361,10.0,0.193,0.481,0.255,0.943,0.957,0.727,0,0,0,0,0,0,0,0,10,0,0,0,10,3,1,24,4,10,0.0,0.0,202.319996,0.9245554527700689
362,10.0,0.501,0.341,0.907,0.631,0.067,0.211,0,0,0,0,0,0,0,0,4,1,0,8,9,1,3,26,6,11,30.0,0.0,188.79820099999998,0.8953393295175798
363,10.0,0.327,0.245,0.943,0.309,0.149,0.789,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,7,2,6,0.0,0.0,193.25760300000002,0.9111610333911978
364,10.0,0.937,0.697,0.089,0.913,0.717,0.245,0,0,0,0,0,0,0,0,0,1,0,0,11,2,1,15,1,15,3.0,0.0,178.91111900000004,0.887201296071284
365,10.0,0.525,0.009,0.767,0.977,0.443,0.603,0,0,0,0,0,0,0,0,3,0,0,0,11,2,1,17,2,15,10.0,0.0,189.48122799999996,0.88598336839996
366,10.0,0.773,0.965,0.731,0.153,0.071,0.759,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,14,1,14,62.0,0.0,151.45893,0.8982418230036342
367,10.0,0.215,0.283,0.799,0.895,0.417,0.823,0,0,0,0,0,0,0,0,4,0,0,1,11,2,3,21,3,18,3.0,0.0,195.63200099999997,0.9208325034853615
368,10.0,0.963,0.115,0.203,0.617,0.735,0.833,0,0,0,0,0,0,0,0,0,0,0,2,9,1,1,13,1,13,54.0,0.0,173.922079,0.9089614484793002
369,10.0,0.885,0.019,0.859,0.069,0.713,0.497,0,0,0,0,0,0,0,0,1,0,0,0,8,1,7,17,2,16,23.0,0.0,117.50909899999999,0.9001192605843769
370,10.0,0.055,0.915,0.983,0.555,0.937,0.317,0,0,0,0,0,0,0,0,6,0,4,0,10,1,1,22,5,10,7.0,0.0,204.46024499999996,0.926986969063961
371,10.0,0.653,0.685,0.923,0.735,0.593,0.039,0,0,0,0,0,0,0,0,1,0,0,0,13,8,1,23,4,14,529.0,0.0,159.424752,0.8673578452330055
372,10.0,0.575,0.575,0.365,0.755,0.765,0.723,0,0,0,0,0,0,0,0,11,1,1,0,10,1,7,31,6,11,4.0,0.0,193.357481,0.8990835030549899
373,10.0,0.313,0.555,0.425,0.725,0.939,0.993,0,0,0,0,0,0,0,0,0,0,1,8,9,0,4,22,4,10,0.0,0.0,200.30230799999998,0.9237984822934233
374,10.0,0.229,0.013,0.623,0.179,0.567,0.931,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,1,8,0.0,0.0,184.62448600000002,0.8899156287665729
375,10.0,0.471,0.613,0.249,0.763,0.013,0.849,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,8,1,8,30.0,0.0,216.97623899999996,0.9186743819042609
376,10.0,0.247,0.505,0.109,0.925,0.431,0.565,0,0,0,0,0,0,0,0,1,1,1,0,7,1,3,14,2,13,143.0,0.0,189.741882,0.9101123595505618
