,shortages,mismatches,youngblood,FIFO,usability,substitution,today,total_antibodies,max_antibodies_pp,alloimm_patients,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
413,10.0,0.27,0.98,0.67,0.2,0.14,0.0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,30025.0,0.0,76.76339499999999,0.7897942041159177
414,10.0,0.2,1.0,0.66,0.09,0.81,0.31,12,2,11,0,0,0,0,0,0,0,0,0,1,0,0,8,2,1,0.0,0.0,163.25824600000004,0.8552127445049406
415,10.0,0.39,0.59,0.61,0.88,0.42,0.03,11,1,11,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,3546.0,0.0,177.21210899999997,0.8620534204891243
416,10.0,0.99,0.22,0.65,0.94,0.87,0.31,5,1,5,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,8.0,0.0,179.542451,0.8999489535477284
417,10.0,0.97,0.21,0.81,0.04,0.6,0.14,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,71.0,0.0,110.978806,0.9021593139787168
418,10.0,0.57,0.1,0.82,0.66,0.83,0.69,13,2,11,0,0,0,0,0,0,0,0,2,0,1,0,7,2,1,28.0,0.0,180.869799,0.890937019969278
419,10.0,0.15,0.24,0.86,0.5,0.26,0.04,14,1,14,0,0,0,0,0,0,0,0,2,1,0,0,8,3,0,159.0,0.0,177.80926900000003,0.8706958577448864
420,10.0,0.95,0.36,0.51,0.59,0.7,0.41,8,1,8,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,26.0,0.0,176.03272,0.908540471637986
421,10.0,0.35,0.79,0.27,0.91,0.85,0.64,15,1,15,0,0,0,0,0,0,0,0,0,0,1,0,12,1,1,29.0,0.0,186.280901,0.913677811550152
422,10.0,0.67,0.99,0.18,0.31,0.58,0.84,10,1,10,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,2.0,0.0,171.78480900000002,0.8997244636882503
423,10.0,0.69,0.9,0.84,0.94,0.21,0.42,14,1,14,0,0,0,0,0,0,0,0,2,0,0,0,7,2,3,0.0,0.0,197.574775,0.9027600432177586
424,10.0,0.06,0.83,0.49,0.89,0.4,0.53,11,1,11,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0.0,0.0,213.526874,0.944610933140436
425,10.0,0.29,0.59,0.79,0.49,0.06,0.61,17,2,16,0,0,0,0,0,0,0,0,1,0,1,0,12,1,2,32.0,0.0,204.383796,0.897034024402341
426,10.0,0.8,0.4,0.03,0.09,0.24,0.22,15,2,14,0,0,0,0,0,0,0,0,2,1,0,0,10,1,1,58.0,0.0,135.092524,0.9094210207786968
