,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD,subst_SCD_A,subst_SCD_B,subst_SCD_D,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S
151,100.0,0.87174,0.1863719999999999,0.57114,0.29058,0.7855679999999999,79.65900000000002,0,0,0,0,0,0,0,0,0,1,0,0,6,2,4,13,2,12,0.0,0.0,184.9149,0.8836220309096566,18,30,37,0.0,0.0,0.0,2.675894,11.739129000000002,24.19656,3.959808,67.855756,14.625606,3.5946240000000005,18.602804,6.193386,18.423405,0.0,13.047928
152,100.0,0.8016,0.038076,0.4128239999999999,0.112224,0.775548,80.2602,0,0,0,0,0,0,0,0,0,0,1,0,8,3,2,14,2,12,8.0,0.0,152.67272199999996,0.8907754425924008,19,26,39,0.0,0.0,0.0,2.699331,11.265097,10.701568,3.913728,50.272092,14.161398,3.673296,17.279592,6.6672080000000005,18.754736,0.0,13.284676
153,100.0,0.975948,0.2044079999999999,0.498996,0.5631240000000001,0.737472,11.4228,0,0,0,0,0,0,0,0,2,1,0,0,7,0,1,11,1,11,1.0,0.0,180.755018,0.8992272347535506,12,36,37,0.0,0.0,0.0,2.716654,11.846242000000002,25.199832,4.13184,63.492892,14.194992,3.59568,18.07918,6.061956,18.420402,0.0,13.015348
154,100.0,0.765528,0.218436,0.212424,0.517032,0.58116,6.012,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,11,2,10,25.0,0.0,181.480383,0.9119329791581527,16,26,39,0.0,0.0,0.0,2.631058,11.278771,23.055584,4.048896,68.318484,13.68192,3.5544960000000003,16.94702,6.32549,18.554536,0.0,13.084128
155,100.0,0.4789559999999999,0.739476,0.835668,0.66132,0.913824,57.114,0,0,0,0,0,0,0,0,1,0,2,0,8,2,8,21,2,18,17.0,0.0,196.176201,0.9303299622024722,12,32,39,0.0,0.0,0.0,2.93472,12.370412000000002,23.21296,4.1256960000000005,77.077264,14.553837,3.805296,20.212594,6.366604,18.54853,0.0,12.968288
156,100.0,0.052104,0.797592,0.178356,0.164328,0.965928,57.71520000000001,0,0,0,0,0,0,0,0,3,1,0,0,9,1,2,16,2,13,1.0,0.0,213.54215300000004,0.9382478199148244,24,22,39,0.0,0.0,0.0,2.990765,12.0787,36.117792,4.411392,83.522404,13.718568,3.726096,19.869408,6.200126,18.492474,0.0,12.414428
157,100.0,0.509016,0.5951879999999999,0.224448,0.384768,0.396792,128.6568,0,0,0,0,0,0,0,0,1,1,0,0,6,2,3,13,2,12,0.0,0.0,185.627913,0.9233834811198566,12,26,39,0.0,0.0,0.0,2.704426,11.834847000000002,24.98344,4.211712,69.012576,14.135439,3.5634720000000004,17.074388,6.34908,18.579561,0.0,13.178972
158,100.0,0.8036040000000001,0.99198,0.625248,0.238476,0.647292,59.518800000000006,0,0,0,0,0,0,0,0,0,1,0,0,5,1,3,10,1,10,2.0,0.0,177.191918,0.9016996860452527,18,30,37,0.0,0.0,0.0,2.745186,11.344862,20.36052,4.230144,64.12088,14.593539,3.6025440000000004,18.316226,6.287746,18.361343,0.0,13.228928
159,100.0,0.162324,0.436872,0.999996,0.2885759999999999,0.19038,3.006,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,13,1,13,4.0,0.0,207.54484,0.909969481180061,20,24,36,0.0,0.0,0.0,3.01624,12.887745,28.052272,4.13184,81.63843999999999,14.894358,3.847536,20.612388,6.489946,18.837819,0.0,13.136256
160,100.0,0.645288,0.519036,0.352704,0.8276519999999999,0.917832,64.0278,0,0,0,0,0,0,0,0,2,1,2,2,6,1,5,19,2,16,19.0,0.0,192.577358,0.9028173161872975,12,29,38,0.0,0.0,0.0,2.784927,11.723176,27.422768,4.128768,71.821996,14.301882,3.644784000000001,18.227776,6.491968,18.843825,0.0,13.185488
