,shortages,mismatches,FIFO,usability,substitution,today,total_antibodies,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S,total_alloimm_risk,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,subst_SCD_A,subst_SCD_B,subst_SCD_D,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S
429,100.0,0.9326653306613226,0.1623246492985972,0.1462925851703407,0.4328657314629258,94.5945891783567,10,0.0,0.0,0.0,2.566861,11.319793,12.649095999999998,4.058112,49.478844,13.923186,3.405072,17.845672,6.037692,18.810792,0.0,13.276712,153.37183199999998,1,10,0.0,0.0,14,30,39,0,0,0,0,0,0,0,0,0,1,0,0,5,3,1
430,100.0,0.5430861723446894,0.7201402805611223,0.0885771543086172,0.1503006012024048,11.51142284569138,18,0.0,0.0,0.0,2.474132,11.249144,11.783528,4.0857600000000005,57.246064,14.799684,3.805296,18.754938,6.475792,18.821803,0.0,13.340424,162.836565,2,17,48.0,0.0,20,30,37,0,0,0,0,0,0,0,0,2,0,0,1,13,0,2
431,100.0,0.5735470941883768,0.5925851703406814,0.0673346693386773,0.8677354709418837,20.52044088176353,8,0.0,0.0,0.0,2.624944,10.508469000000002,10.642551999999998,3.984384,43.265068,14.193465,3.665904,16.993014,6.430634,18.704686,0.0,13.32884,144.34196000000003,1,8,4.0,0.0,17,27,40,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1
432,100.0,0.8861723446893788,0.7677354709418838,0.1290581162324649,0.7995991983967936,82.58256513026052,7,0.0,0.0,0.0,2.71054,11.116962,11.50812,4.16256,50.60261199999999,14.533986,3.643728,17.965964,6.382106,18.535517,0.0,13.09716,154.259255,1,7,79.0,0.0,13,30,39,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1
433,100.0,0.2160320641282565,0.1432865731462926,0.0565130260521042,0.5430861723446894,31.531462925851702,15,0.0,0.0,0.0,3.024392,11.028081,16.150712,4.3130880000000005,60.452108,14.294247,3.626304,17.764298,6.61531,18.784766,0.0,13.113088,169.166394,2,14,0.0,0.0,14,31,38,0,0,0,0,0,0,0,0,0,0,0,1,7,3,4
434,100.0,0.9070140280561124,0.2784569138276553,0.0697394789579158,0.3987975951903807,9.309218436873747,14,0.0,0.0,0.0,2.350833,11.395,9.816328,4.165632,42.174352,13.929294,3.3337920000000003,15.616732,5.94805,18.666648,0.0,13.371556,140.768217,2,13,47.0,0.0,27,23,38,0,0,0,0,0,0,0,0,1,0,0,0,8,2,3
435,100.0,0.2448897795591182,0.6706412825651302,0.1362725450901803,0.218436873747495,27.32725450901804,19,0.0,0.0,0.0,2.90415,11.878148,22.32772,4.202496,74.99498799999999,15.092868,3.723984,20.018004,6.471074,18.734716,0.0,12.958152,193.3063,2,16,50.0,0.0,13,22,41,0,0,0,0,0,0,0,0,3,1,0,0,10,3,2
436,100.0,0.3763527054108216,0.1185370741482965,0.0364729458917835,0.0240480961923847,3.903807615230461,16,0.0,0.0,0.0,2.217344,11.702665,12.117952,4.2393600000000005,48.685596,13.863633,3.433056,18.570962,5.889412,18.864846,0.0,13.008108,152.592934,3,13,9.0,0.0,9,36,40,0,0,0,0,0,0,0,0,1,0,2,0,11,2,0
437,100.0,0.3250501002004008,0.6344689378757514,0.1995991983967936,0.2905811623246493,75.17515030060119,15,0.0,0.0,0.0,2.979556,11.540856000000002,23.1146,4.488192,74.631416,14.865345,3.625776,20.046308,6.32549,18.734716,0.0,12.76412,193.116375,2,14,8.0,0.0,20,37,40,0,0,0,0,0,0,0,0,2,1,0,0,9,0,3
438,100.0,0.4501002004008016,0.8172344689378758,0.0721442885771543,0.8196392785571143,87.98797595190379,11,0.0,0.0,0.0,2.737034,11.128357,13.357288,4.276224,46.2728,14.278977,3.656928,17.265439999999998,6.623398,18.619601,0.0,13.265852,151.48189899999997,2,10,11.0,0.0,17,28,37,0,0,0,0,0,0,0,0,1,0,0,1,5,1,3
439,100.0,0.92625250501002,0.33937875751503,0.0593186372745491,0.1402805611222445,59.55951903807616,12,0.0,0.0,0.0,2.182698,11.921449,9.816328,4.217856,34.175768,14.220951,3.429888,17.024856,5.853016,18.387369,0.0,12.853896,134.08407499999998,2,10,221.0,0.0,20,35,39,0,0,0,0,0,0,0,0,2,0,1,0,7,0,2
440,100.0,0.4276553106212425,0.0728456913827655,0.1671342685370741,0.7835671342685371,22.922845691382765,15,0.0,0.0,0.0,2.660609,11.331188,23.075256,4.3130880000000005,66.731988,14.269815,3.46368,17.845672,6.067348,18.562544,0.0,12.947292,181.26848,2,14,0.0,0.0,20,24,38,0,0,0,0,0,0,0,0,2,0,0,1,7,1,4
441,100.0,0.4677354709418838,0.3945891783567133,0.1715430861723447,0.6813627254509018,17.31723446893788,6,0.0,0.0,0.0,2.77168,11.470207,19.947408,3.864576,63.261528,13.625421,3.79104,17.513099999999998,6.467704,18.717699,0.0,13.050824,174.481187,1,6,0.0,0.0,12,31,37,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1
442,100.0,0.894188376753507,0.3983967935871743,0.1142284569138276,0.3967935871743487,98.19819639278556,13,0.0,0.0,0.0,2.474132,11.226354,11.272056,3.990528,57.51048,14.562999,3.55608,17.399884,6.263482,18.49848,0.0,13.130464,159.88493899999995,1,13,0.0,0.0,11,30,37,0,0,0,0,0,0,0,0,1,0,0,0,9,2,1
443,100.0,0.4452905811623247,0.05,0.1154308617234469,0.6773547094188377,45.34529058116232,16,0.0,0.0,0.0,2.667742,11.504392,20.498224,4.03968,55.560412,14.524824,3.5275680000000005,17.109768,6.353124,18.623605,0.0,12.824212,167.23355099999998,2,14,42.0,0.0,14,26,38,0,0,0,0,0,0,0,0,0,0,1,1,9,2,3
444,100.0,0.9422845691382766,0.4288577154308617,0.1134268537074148,0.6893787575150301,0.5004008016032063,13,0.0,0.0,0.0,2.049209,9.838443000000002,8.3606,3.606528,41.546364,13.42233,3.2498400000000003,16.2748,5.5065800000000005,18.666648,0.0,12.888648,135.40999,1,13,19.0,0.0,15,29,41,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0
445,100.0,0.660120240480962,0.5354709418837675,0.1823647294589178,0.9258517034068136,27.927855711422847,15,0.0,0.0,0.0,2.737034,10.966548,17.272015999999997,3.913728,49.875468,14.330895,3.605712000000001,17.721842,6.493316,18.820802,0.0,13.244856,158.98221699999996,2,14,93.0,0.0,20,19,39,0,0,0,0,0,0,0,0,1,0,1,0,12,0,1
446,100.0,0.9919839679358716,0.4935871743486973,0.1074148296593186,1.0,5.705611222444889,18,0.0,0.0,0.0,2.691179,10.626977,10.42616,4.187136,44.521044,14.208735,3.4911360000000005,16.550764,6.368626,18.593575,0.0,13.365764,145.03109600000002,2,17,3.0,0.0,21,33,38,0,0,0,0,0,0,0,0,1,0,0,0,14,2,1
447,100.0,0.8877755511022045,0.4155310621242484,0.1206412825651302,0.9298597194388778,52.35230460921844,10,0.0,0.0,0.0,2.596412,11.249144,12.944176,3.800064,48.156764,14.130858,3.494304,16.525998,6.636878,18.577559,0.0,13.076164,151.188321,2,9,45.0,0.0,19,28,39,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2
448,100.0,0.3955911823647294,0.1832665330661322,0.1863727454909819,0.4949899799599198,11.111022044088177,12,0.0,0.0,0.0,2.84301,12.076421000000002,22.52444,4.10112,60.187692,14.32326,3.652176,18.670026,6.3564940000000005,18.754736,0.0,13.215172,176.704547,2,10,1.0,0.0,20,26,38,0,0,0,0,0,0,0,0,1,2,0,0,6,1,2
